sentence,label,idx
", nickelodeon-esque kiddie flick ",1,63044
offers no new insight ,0,34856
disjointed ,0,57717
combined with indoctrinated prejudice ,0,49851
exploitation film ,0,26300
"who needs mind-bending drugs when they can see this , the final part of the ` qatsi ' trilogy , directed by godfrey reggio , with music by philip glass ? ",1,27245
"sly , sophisticated and surprising . ",1,43207
"for a guy who has waited three years with breathless anticipation for a new hal hartley movie to pore over , no such thing is a big letdown . ",0,39230
pale successor ,0,53225
still want my money back . ,0,49068
"to the filmmakers , ivan is a prince of a fellow , but he comes across as shallow and glib though not mean-spirited , and there 's no indication that he 's been responsible for putting together any movies of particular value or merit . ",0,46829
as terrible as the synergistic impulse that created it ,0,28585
obnoxious adults ,0,58571
every joke is repeated at least -- ,0,65607
for nearly three hours ,1,25668
huge-screen ,1,65262
appears not to have been edited at all ,0,47608
"a buoyant romantic comedy about friendship , love , and the truth ",1,4706
seem like such a bore ,0,45012
2002 's first great film ,1,22629
"amy and matthew have a bit of a phony relationship , but ",0,17387
classy ,1,22810
clunky tv-movie approach ,0,36360
independent film ,1,34364
"with drama , romance , tragedy , bravery , political intrigue , partisans and sabotage ",1,34820
"more revealing , more emotional and more surprising -- ",1,37084
wo n't have any trouble getting kids to eat up these veggies ,1,50412
ingenious and ,1,8298
"outrageous , ingenious ",1,49910
though it pretends to expose the life of male hustlers ,0,13632
a man whose engaging manner and flamboyant style made him a truly larger-than-life character ,1,63556
is unconvincing soap opera that tornatore was right to cut . ,0,39091
the most purely enjoyable and satisfying evenings ,1,374
demonstrates a vivid imagination and an impressive style that result in some terrific setpieces ,1,21413
gentle and biting ,1,19503
of dumb drug jokes and predictable slapstick ,0,62113
a movie with depth ,1,41591
"its plot and animation offer daytime tv serviceability , but little more . ",0,43843
with familiar situations and repetitive scenes ,0,34833
family-oriented ,1,16813
a very resonant chord ,1,24340
"has an ambition to say something about its subjects , but not a willingness . ",0,4850
it 's pretty stupid . ,0,47667
"i 've never seen or heard anything quite like this film , ",1,55607
"audiences are advised to sit near the back and squint to avoid noticing some truly egregious lip-non-synching , ",0,36794
"seem to keep upping the ante on each other , just as their characters do in the film . ",1,24280
"a dull , simple-minded and stereotypical tale of drugs , ",0,14807
uncinematic but ,0,25969
in venice ,1,10391
with so many distracting special effects and visual party tricks ,0,3876
anchored by splendid performances ,1,15644
concentrates far too much on the awkward interplay and utter lack of chemistry between chan and hewitt ,0,64259
too simple and the working out of the plot almost arbitrary ,0,50456
"crack you up with her crass , then gasp for gas , verbal deportment ",1,13835
emerges with yet another remarkable yet shockingly little-known perspective . ,1,51289
", you 'll swear that you 've seen it all before , even if you 've never come within a mile of the longest yard . ",0,25191
soon-to-be-forgettable '' section ,0,21058
as a dentist 's waiting room ,0,233
"downbeat , period-perfect biopic hammers home a heavy-handed moralistic message ",0,22295
imagine ( if possible ) a pasolini film without passion or politics ,0,3216
suspenseful horror movie ,1,31219
"of bland hotels , highways , parking lots ",0,1435
"look back at civil disobedience , anti-war movements and the power of strong voices . ",1,15860
are terribly wasted ,0,35337
's nothing remotely topical or sexy here . ,0,43881
"faith , love and power ",1,6534
astonishing ,1,55820
"likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy . ",0,63582
does n't have anything really interesting to say . ,0,34596
offers a persuasive ,1,59592
to knock back a beer with but they 're simply not funny performers ,0,53493
"humorless , self-conscious art drivel , made without a glimmer of intelligence or invention . ",0,60778
playfully profound ... and ,1,41690
like a comedian who starts off promisingly but then proceeds to flop ,0,35063
of his way to turn the legendary wit 's classic mistaken identity farce into brutally labored and unfunny hokum ,0,66532
hard to believe these jokers are supposed to have pulled off four similar kidnappings before ,0,22016
"nutty , consistently funny . ",1,38440
masterpiece . ,1,14477
takes a simple premise and carries it to unexpected heights . ,1,45980
become apparent that the franchise 's best years are long past ,0,50827
"not-so-funny gags , ",0,5542
listless direction ,0,55666
grayish quality ,0,35309
"is the kathie lee gifford of film directors , sadly proving once again ego does n't always go hand in hand with talent . ",0,28469
rendered with such clarity that it 's as if it all happened only yesterday ,1,21314
the pianist is the film roman polanski may have been born to make . ,1,65056
sandra bullock and hugh grant make a great team ,1,24253
` what 's the russian word for wow !? ' ,1,40205
"meandering , low on energy ",0,62270
comes along only occasionally ,1,38908
too indulgent ,0,13183
novel ,1,21372
exceptional performances ,1,3922
"those rare films that come by once in a while with flawless amounts of acting , direction , story and pace ",1,56498
"it ai n't art , by a long shot , ",0,52162
the worst possibilities of mankind ,0,18946
's better than the phantom menace ,1,23365
most daring ,1,25791
which also seems to play on a 10-year delay ,0,29065
"scary , action-packed chiller ",1,22168
into a gut-wrenching examination of the way cultural differences and emotional expectations collide ,1,59720
its playwriting 101 premise ,1,17347
"of a movie , a vampire soap opera that does n't make much ",0,26187
similar obsessions can dominate a family ,0,13867
posing as a serious drama about spousal abuse ,0,50922
goes further ,1,56456
"petter næss ' delicate , clever direction ... and a wonderful , imaginative script ",1,32631
brimming ,1,9008
my two hours better watching ,0,11727
bland hotels ,0,29562
the refreshingly unhibited enthusiasm ,1,58968
it explores the awful complications of one terrifying day ,1,21469
lousy guy ritchie imitation ,0,26564
"if you come from a family that eats , meddles , argues , laughs , kibbitzes and fights together , then go see this delightful comedy . ",1,64471
it 's a heck of a ride ,1,7369
to his series of spectacular belly flops both on and off the screen ,0,22837
"ultimately defeated the film ... it was the unfulfilling , incongruous , `` wait a second ",0,35855
it an above-average thriller ,1,20172
trouble every day is a plodding mess . ,0,1094
"a stirring , funny ",1,5850
liked this film a lot ,1,39350
"a more confused , less interesting and more sloppily made film could possibly come down the road in 2002 ",0,7074
search of purpose or even a plot ,0,3498
hate the feeling of having been slimed in the name of high art . ,0,4863
a disappointingly thin slice of lower-class london life ; despite the title ,0,31268
leaves blue crush waterlogged ,0,48849
"most audacious , ",1,28896
"reign of fire never comes close to recovering from its demented premise , but ",0,28179
comprise a powerful and reasonably fulfilling gestalt . ,1,20892
cute partnership ,1,32600
a total lack ,0,67281
`` ( hopkins ) does n't so much phone in his performance as fax it . ,0,20854
involving in its bold presentation ,1,43642
most notable ,1,27723
fixating ,1,16760
dull girl ,0,43002
"nothing overly original , mind you , but solidly entertaining . ",1,31965
it all seemed wasted like deniro 's once promising career and the once grand long beach boardwalk . ,0,38020
"it 's tommy 's job to clean the peep booths surrounding her , and after viewing this one , you 'll feel like mopping up , too ",0,20885
not great ,0,10307
toilet-humor ,0,7591
does its best ,1,55077
"be exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble ",1,2944
filmed directly ,1,6546
adorably ditsy but heartfelt performances ,1,34421
's usually a bad sign when directors abandon their scripts and go where the moment takes them ,0,13990
"with cheapo animation ( like saturday morning tv in the '60s ) , a complex sword-and-sorcery plot and characters who all have big round eyes and japanese names . ",0,48614
manages to nail the spirit-crushing ennui of denuded urban living without giving in to it ,1,40185
take ( its ) earnest errors and hard-won rewards over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time ,1,23519
"hollow , self-indulgent , and - worst of all - boring ",0,18806
"although olivier assayas ' elegantly appointed period drama seems , at times , padded with incident in the way of a too-conscientious adaptation ",0,39355
to get a coherent rhythm going ,0,47618
hard to care ,0,34362
"as the princess , sorvino glides gracefully from male persona to female without missing a beat . ",1,33729
critical and commercial disaster ,0,28311
"`` frailty '' has been written so well , that even a simple `` goddammit ! '' ",1,2198
"'s fun , wispy ",1,27557
half-baked setups and sluggish pacing ,0,31135
"at every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ... ",0,46648
"it looks good , sonny , ",1,54361
to being the barn-burningly bad movie it promised it would be ,0,66307
"found the ring moderately absorbing , largely for its elegantly colorful look and sound . ",1,26742
"flat-out amusing , sometimes endearing and ",1,13970
's a solid movie about people whose lives are anything but . ,1,52387
if there 's no art here ,0,59874
seem tired ,0,19636
astringent wit ,1,29175
is definitely a director to watch . ,1,3080
the sally jesse raphael atmosphere of films like philadelphia and american beauty ,1,17351
its accumulated enjoyment ,1,59032
emotionally intense ,1,4803
absolutely refreshed ,1,64198
"( washington 's ) strong hand , keen eye , sweet spirit and good taste are reflected in almost every scene . ",1,40726
"will absolutely crack you up with her crass , then gasp for gas , verbal deportment . ",1,52700
play their roles with vibrant charm ,1,28974
"its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ",1,11474
strangely moved by even the corniest and most hackneyed contrivances ,1,3195
on the strength of their own cleverness ,1,33110
incredibly irritating comedy ,0,62555
"unexpected , and often contradictory , truths emerge . ",1,46917
enough funny ,1,51718
time out is existential drama without any of the pretension associated with the term . ,1,14103
"a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ... ",0,51779
informative and ,1,47778
out of control ,0,36430
the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs . ,1,53914
a case study that exists apart from all the movie 's political ramifications ,1,64927
"is badly edited , often awkwardly directed and suffers from the addition of a wholly unnecessary pre-credit sequence designed to give some of the characters a ` back story . ",0,53794
happens when something goes bump in the night and nobody cares ? ,0,17844
"the real triumphs in igby come from philippe , who makes oliver far more interesting than the character 's lines would suggest , and sarandon , who could n't be better as a cruel but weirdly likable wasp matron . ",1,32574
directed the film from the back of a taxicab ,0,37025
the incessant use ,0,60356
"a retooling of fahrenheit 451 , and even as a rip-off of the matrix ",0,28045
their memorable and resourceful performances ,1,32636
"a welcome , if downbeat , missive ",1,21425
a good thing ,1,27591
that a life like this can sound so dull ,0,49950
adventure movie ,1,24570
got something ,1,26602
a film that comes along every day . ,0,22687
lilo & stitch has a number of other assets to commend it to movie audiences both innocent and jaded . ,1,65776
a reasonable degree ,1,32057
"it 's up to ( watts ) to lend credibility to this strange scenario , and ",1,15868
a cute alien creature ,1,57943
magic and whimsy ,1,20498
time and art ,1,60118
"there , done that ... a thousand times already ",0,37531
not as outrageous or funny ,0,2666
conceptual feat ,1,2288
a part of its fun ,1,38576
can only love the players it brings to the fore for the gifted but no-nonsense human beings they are and for the still-inestimable contribution they have made to our shared history . ,1,64991
"emotionally complex , dramatically satisfying heroine ",1,14429
thrills the eye ,1,17564
interesting matters of identity and heritage ,1,9857
"morality , family , and social expectation ",1,60971
"fun , with an undeniable energy ",1,62683
well-balanced fashion ,1,11459
"'re the unnamed , easily substitutable forces that serve as whatever terror the heroes of horror movies try to avoid . ",0,39664
vivid ,1,62489
traditional layers of awakening and ripening and ,1,41041
stoked ,1,19606
trash ,0,8443
in rhetoric and cliché ,0,21545
"wonderful , imaginative script ",1,2208
work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns ,1,66279
diverges from anything ,1,11589
it is not worth ,0,2820
"as immaculate as stuart little 2 is , it could be a lot better if it were , well , more adventurous . ",1,40263
"realistic , non-exploitive approach ",1,55313
of his sweetness and vulnerability ,1,22721
"a worthwhile documentary , whether you 're into rap or not , even if it may still leave you wanting more answers as the credits ",1,10810
rivals the top japanese animations of recent vintage ,1,37334
"formulaic , its plot and pacing typical hollywood war-movie stuff , while the performances elicit more of a sense of deja vu than awe ",0,58332
is bravado -- to take an entirely stale concept and push it through the audience 's meat grinder one more time ,0,14436
"starts promisingly but disintegrates into a dreary , humorless soap opera . ",0,50204
"humor , warmth , and intelligence ",1,29607
is extraordinarily good . ,1,10284
oozing with attractive men ,1,11731
swim represents an engaging and intimate first feature by a talented director to watch ,1,35021
", the film amounts to being lectured to by tech-geeks , if you 're up for that sort of thing . ",0,14697
undoubtedly the scariest movie ever made about tattoos . ,1,57708
more simply intrusive to the story ,0,42449
a spectacular completion one ,1,54482
three splendid actors ,1,48900
"we hate ( madonna ) within the film 's first five minutes , and ",0,41097
"more confused , less interesting and more ",0,31569
"on the irrelevant as on the engaging , which gradually turns what time ",0,59095
the film retains ambiguities that make it well worth watching . ,1,47254
tv sitcom material ,0,50226
by an overly sillified plot and stop-and-start pacing ,0,64224
balance all the formulaic equations in the long-winded heist comedy ,0,61856
blithe rebel fantasy ,1,35409
's not even a tv special you 'd bother watching past the second commercial break ,0,55322
perhaps even the slc high command found writer-director mitch davis 's wall of kitsch hard going . ,0,42531
nothing about the film -- with the possible exception of elizabeth hurley 's breasts -- is authentic . ,0,19198
some body smacks of exhibitionism more than it does cathartic truth telling . ,0,34914
"a shame that stealing harvard is too busy getting in its own way to be anything but frustrating , boring , and forgettable . ",0,19225
enjoyable family fare ,1,3826
relegated to the background -- a welcome step forward from the sally jesse raphael atmosphere of films like philadelphia and american beauty ,1,58327
", but your ego ",0,18221
to conceive anyone else in their roles ,1,32191
a muddy psychological thriller ,0,46409
"sandra bullock and hugh grant make a great team , but this predictable romantic comedy should get a pink slip ",0,36108
"spectacular in every sense of the word , even if you don ' t ",1,45453
less the sensational true-crime hell-jaunt purists might like and more experimental in its storytelling ( though no less horrifying for it ) . ,1,29945
abuse ,0,53664
"acting , poorly dubbed dialogue and murky cinematography ",0,44325
very much like life ,1,64373
", wistful new film ",1,57644
energy it 's documenting ,1,48510
bludgeoning ,0,35692
the kind of movie that deserves a chance to shine ,1,50256
-- being real -- ,1,23947
roars with leonine power ,1,37272
featuring reams of flatly ,0,57630
structured and ,1,57167
succeeds ,1,11080
shiner ,1,61397
across its indulgent two-hour-and-fifteen-minute length ,1,20866
may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns . ,1,6865
good-naturedly ,1,39507
", and by casting an actress whose face projects that woman 's doubts and yearnings ",1,33791
most of the things that made the original men in black such a pleasure are still there . ,1,49538
is darkly funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work ,1,46643
"this flick is fun , and host to some truly excellent sequences . ",1,7751
for children ,1,32760
engaging mix ,1,22946
most ingenious film ,1,66777
because of its epic scope ,1,63177
to see a movie that takes such a speedy swan dive from `` promising '' to `` interesting '' to `` familiar '' before landing squarely on `` stupid '' ,0,35217
"the cute frissons of discovery and humor between chaplin and kidman that keep this nicely wound clock not just ticking , but humming ",1,37214
"is , in fact , so interesting ",1,59510
unwieldy contraption . ,0,36076
those 24-and-unders looking for their own caddyshack to adopt as a generational signpost may have to keep on looking . ,0,26568
feel good about ,1,42507
the mood for an intelligent weepy ,1,15401
"ultimately the , yes , snail-like pacing and lack of thematic resonance make the film more silly than scary , like some sort of martha stewart decorating program run amok . ",0,17500
"to say that it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world ",1,9322
the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should . ,1,63019
its occasional charms ,1,46192
"carrying off a spot-on scottish burr , duvall ( also a producer ) peels layers from this character that may well not have existed on paper . ",1,66461
masterfully calibrated psychological thriller ,1,52183
vividly detailed story about newcomers in a strange new world ,1,55276
be the best and most mature comedy of the 2002 summer season speaks more of the season than the picture ,1,50301
the reunion ,1,35463
rae ,1,66436
treat for its depiction on not giving up on dreams when you 're a struggling nobody ,1,20640
duds ,0,60749
"sure , i hated myself in the morning . ",0,18083
a film in a class with spike lee 's masterful do the right thing . ,1,15405
it at least calls attention to a problem hollywood too long has ignored ,1,25011
of the great crimes ,0,39999
in all the right ways ,1,19837
any summer blockbuster ,1,38895
"but on the whole , you 're gon na like this movie . ",1,2997
"far from heaven is a dazzling conceptual feat , but more than that , it 's a work of enthralling drama . ",1,6335
with which it tries to pump life into overworked elements from eastwood 's dirty harry period ,0,1859
a typical bible killer story ,0,12594
indescribably bad ,0,51729
succeeded in ,1,62435
it 's a compelling and horrifying story ,1,57885
for an unfocused screenplay ,0,53437
particular interest ,1,6874
"you get to see the one of the world 's best actors , daniel auteuil , ",1,54764
"lovingly photographed in the manner of a golden book sprung to life , stuart little 2 manages sweetness largely without stickiness . ",1,35774
elegance and maturity ,1,2749
film to drag on for nearly three hours ,0,33133
", this movie proves you wrong on both counts . ",1,18270
work up much entertainment value ,1,9704
highly uneven and inconsistent ... margarita happy hour kinda ,0,65086
both heartbreaking and ,1,66821
an intimacy ,1,50361
how to win the battle ,1,13596
a spiffy animated feature about an unruly adolescent boy who is yearning for adventure and a chance to prove his worth ,1,37433
has this sneaky feel to it -- as if the director is trying to dupe the viewer into taking it all as very important simply because the movie is ugly to look at and not a hollywood product . ,0,44880
cheery and tranquil suburban life ,1,36684
"getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic ",0,13089
has thankfully ditched the saccharine sentimentality of bicentennial man in favor of an altogether darker side ,1,22239
for purposes of bland hollywood romance ,0,49942
old story ,0,44243
avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type ,1,11489
to merit such superficial treatment ,0,41156
showcase the canadian 's inane ramblings ,0,3836
takes a hat-in-hand approach to rowling that stifles creativity and allows the film to drag on for nearly three hours . ,0,32368
a fast-moving and cheerfully simplistic 88 minutes of exaggerated action ,1,12918
is so thoughtlessly assembled . ,0,31495
which is way too stagy ,0,15996
one of the most interesting writer/directors ,1,29216
humor and heart and very talented young actors ,1,60851
"falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting ",0,18629
seem bound and determined to duplicate bela lugosi 's now-cliched vampire accent ,0,18615
it 's stylishly directed with verve ... ,1,63332
moved ,1,58708
's far too tragic ,0,51156
"like me , think an action film disguised as a war tribute is disgusting to begin with ",0,34730
a convincing one ,1,51900
"seem sincere , and just ",1,39584
"lot to do with the casting of juliette binoche as sand , who brings to the role her pale , dark beauty and characteristic warmth ",1,55862
", i guess a space station in the year 2455 can be crossed off the list of ideas for the inevitable future sequels ( hey , do n't shoot the messenger ) . ",0,21117
merely bad ,0,29810
dismiss ,0,60469
"barry convinces us he 's a dangerous , secretly unhinged guy who could easily have killed a president because it made him feel powerful . ",1,56635
"'s a square , sentimental drama that satisfies , as comfort food often can . ",1,56335
"a little melodramatic , but with enough hope to keep you engaged . ",1,40154
", director robert j. siegel allows the characters to inhabit their world without cleaving to a narrative arc . ",1,37314
an unfortunate title for a film that has nothing endearing about it . ,0,28756
a coming-of-age story and cautionary parable ,1,30969
cremaster 3 is at once a tough pill to swallow and a minor miracle of self-expression . ,1,15371
cold ,0,63438
narcissism and self-congratulation ,0,31721
an edifying glimpse into the wit and revolutionary spirit of these performers and their era ,1,17595
sabotaged by pomposity ,0,38575
starring a `` snl '' has-been acting like an 8-year-old channeling roberto benigni ,0,38398
"the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile ",1,51331
fresh territory ,1,11611
offers piercing domestic drama with spikes of sly humor . ,1,12065
"like the world of his film , hartley created a monster but did n't know how to handle it . ",0,53237
overdone ,0,16736
sharp ,1,52143
three sides of his story with a sensitivity and an inquisitiveness reminiscent of truffaut ,1,18769
"subtle , and resonant ",1,49358
", self-important stories ",0,7998
"feels like pieces a bunch of other , better movies slapped together . ",0,33829
this movie loves women at all ,1,51494
imponderably stilted and self-consciously arty ,0,20073
of loss and denial and life-at-arm 's - length in the film ,0,19974
pitch-perfect ,1,7965
"wise , wizened ",1,18006
"'s sharply comic and surprisingly touching , ",1,866
of balto ,1,9274
the most magical and most fun family fare of this or any recent holiday season ,1,14120
"in all , an interesting look at the life of the campaign-trail press , especially ones that do n't really care for the candidate ",1,47798
such an excellent job of critiquing itself at every faltering half-step of its development that criticizing feels more like commiserating ,0,7381
a flourish ,1,43370
an exhilarating new interpretation in morvern callar ,1,44164
is that wind-in-the-hair exhilarating ,1,20652
a '' range ,1,17265
fit well together ,1,22848
of tastelessness and gall ,0,17109
as the chatter of parrots raised on oprah ,0,22619
tasty and sweet ,1,52188
simple-minded ,0,40643
flat and ,0,22754
"insightfully written , delicately performed ",1,15610
bracing ,1,14842
a muddled limp biscuit ,0,7020
slapping its target audience ,0,13524
too many characters saying too many clever things and getting into too many pointless situations ,0,46676
life-changing chance encounters ,1,53331
"while i ca n't say it 's on par with the first one , stuart little 2 is a light , fun cheese puff of a movie . ",1,56911
that it looks neat ,1,20403
most of the dialogue made me want to pack raw dough in my ears . ,0,2832
shtick ,0,42121
does n't give us a reason to be in the theater beyond wilde 's wit and the actors ' performances ,0,38919
"intelligent , and humanly funny film . ",1,55614
"as if trying to grab a lump of play-doh , the harder that liman tries to squeeze his story , the more details slip out between his fingers . ",0,35668
the highly predictable narrative falls short ,0,24355
see what he could make with a decent budget ,1,40172
", it 's contrived and predictable ",0,65307
into a warmed over pastiche ,0,37051
deeply absorbing ,1,14393
interesting characters or even a halfway intriguing plot ,1,66045
the lively intelligence ,1,31615
brooding ,0,43237
a legend ,1,61405
"pathetic , endearing ",1,43862
completely forgettable ,0,53933
the station looking for a return ticket to realism ,0,42051
a stereotype ,0,67222
's also somewhat clumsy ,0,33599
"solid , kinetically-charged spy flick worthy ",1,22299
the film is well-intentioned ,1,61565
imaginative filmmaker ,1,42853
"despite terrific special effects and funnier gags , harry potter and the chamber of secrets finds a way to make j.k. rowling 's marvelous series into a deadly bore . ",0,11776
"it has some cute moments , funny scenes , and hits the target audience ( young bow wow fans ) - with nothing but net ",1,21809
"with clumsy dialogue , heavy-handed phoney-feeling sentiment , and an overly-familiar set ",0,46254
of a slightly more literate filmgoing audience ,1,50831
his usual intelligence and subtlety ,1,46032
the sheer ugliness of everything else ,0,5261
cram too many ingredients into one small pot ,0,42188
"bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults ",1,60414
"like many western action films , this thriller is too loud and thoroughly overbearing , ",0,26269
drawn in by the sympathetic characters ,1,19362
more plot ,1,2851
's not half-bad . ,1,65867
a truly larger-than-life character ,1,60710
harmless fun . ,1,4664
like having two guys yelling in your face for two hours ,0,12691
than this hastily dubbed disaster ,0,65171
"guide a loose , poorly structured film through the pitfalls of incoherence and redundancy ",0,33460
"sweet , and intermittently hilarious ",1,4530
a stylish cast and some clever scripting solutions help chicago make the transition from stage to screen with considerable appeal intact . ,1,22763
with phony imagery or music ,0,35569
painfully flat ,0,66826
good documentarian ,1,39736
stunning technical achievement ,1,46860
a lovely and beautifully photographed romance . ,1,53524
stimulating and ,1,64993
they spend years trying to comprehend it ,0,26878
it 's too harsh to work as a piece of storytelling ,0,38368
bullock and grant still look ill at ease sharing the same scene . ,0,66309
strained caper movies that 's hardly any fun to watch and begins to vaporize from your memory minutes after it ends ,0,38653
saving ,1,11584
potentially trite and overused concept ,0,24555
full of nuance and character dimension ,1,21363
cleverly worked out ,1,29634
giving it a strong thumbs up ,1,57080
his films so memorable ,1,50718
a sudden turn and devolves ,0,22148
were more repulsive ,0,14204
have a sense of humor ,1,50316
"because both are just actory concoctions , defined by childlike dimness and a handful of quirks ",0,3106
thanks to the presence of ` the king ,1,3005
is as difficult for the audience ,0,49653
a worldly-wise and very funny script ,1,31572
is cheap junk and an insult to their death-defying efforts ,0,23090
it is impossible not to be awed by the power and grace of one of the greatest natural sportsmen of modern times . ,1,6616
recycled more times ,0,48302
do n't think that a.c. will help this movie one bit ,0,50975
"'s weird , wonderful , and not necessarily for kids ",1,56656
its oscar nomination ,1,27798
"a sweet , tender sermon about a 12-year-old welsh boy more curious ",1,65616
cloaks a familiar anti-feminist equation ( career - kids = misery ) in tiresome romantic-comedy duds . ,0,60411
it 's won ,1,30367
"watch , giggle ",1,4415
has moments of inspired humor ,1,65645
in this fascinating portrait of a modern lothario ,1,18386
"the movie straddles the fence between escapism and social commentary , and on both sides it falls short . ",0,34083
this funny film ,1,27036
"berry 's saucy , ",1,40916
many ways the perfect festival film ,1,11029
done any better in bringing the story of spider-man to the big screen ,1,64950
capable of anteing up some movie star charisma ,1,3523
their shallow styles ,0,32678
"the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring . ",1,32954
"one of recent memory 's most thoughtful films about art , ethics , and the cost of moral compromise . ",1,5751
naturally funny film ,1,28364
from director mark romanek 's self-conscious scrutiny ,0,44015
"that if the video is n't back at blockbuster before midnight , you 're going to face frightening late fees ",0,4343
from a genre -- the gangster/crime comedy -- that wore out its welcome with audiences several years ago ,0,37945
characteristically startling visual style ,1,32108
abundant ,1,49608
"skins has a desolate air , but eyre , a native american raised by white parents , manages to infuse the rocky path to sibling reconciliation with flashes of warmth and gentle humor . ",1,31475
"with a jarring , new-agey tone creeping into the second half ",0,55409
over the bombastic self-glorification of other feel-good fiascos like antwone fisher or the emperor 's club any time ,1,34320
"the good , ",1,21663
and they succeed merrily at their noble endeavor . ,1,22032
local ,1,66825
can get your money back ,0,9997
"congrats disney on a job well done , i enjoyed it just as much ! ",1,56727
a sun-drenched masterpiece ,1,10102
's been responsible for putting together any movies of particular value or merit ,0,47899
in a contest to see who can out-bad-act the other ,0,35540
ultimate blame ,0,59138
one of the most high-concept sci fi adventures attempted for the screen ,1,64686
"a movie so sloppy , so uneven , so damn unpleasant ",0,37759
their outrageousness ,1,22417
is a towering siren . ,1,11177
is prime escapist fare . ,1,46698
", satisfying ",1,38800
